Año,Título,Autores,Fuente,DOI,Acceso,Descarga,Relevancia
2012,Learning-Based Model Predictive Control on a Quadrotor: Onboard Implementation and Experimental Results,Patrick Bouffard; Anil Aswani; Claire J. Tomlin,IEEE ICRA,10.1109/ICRA.2012.6225035,Sí,https://people.eecs.berkeley.edu/~tomlin/papers/BAT12.pdf,Trabajo fundacional: LBMPC a bordo; aprende efectos no modelados como ground effect.
2017,Gaussian Process Model Predictive Control of an Unmanned Quadrotor,Gang Cao; Edmund M.-K. Lai; Fakhrul Alam,Journal of Intelligent & Robotic Systems,10.1007/s10846-017-0549-y,"Sí, versión de autor",https://openrepository.aut.ac.nz/bitstreams/2f886f04-ebdd-4c96-9289-6caa33e69e73/download,MPC con modelo probabilístico GP obtenido de datos y restricciones de entrada/salida.
2020,Learning-Based Model Predictive Control: Toward Safe Learning in Control,Lukas Hewing; Kim P. Wabersich; Marcel Menner; Melanie N. Zeilinger,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-090419-075625,Página de revisión,https://doi.org/10.1146/annurev-control-090419-075625,"Revisión teórica clave de Learning-Based MPC, seguridad y aprendizaje de dinámica/controlador."
2020,Safe Learning-based Tracking Control for Quadrotors under Wind Disturbances,Lei Zheng; Rui Yang; Jiesen Pan; Hui Cheng,arXiv,10.48550/arXiv.2009.01992,Sí,https://arxiv.org/pdf/2009.01992,GP para estimar perturbaciones de viento y seguridad mediante CBF/QP.
2021,Data-Driven MPC for Quadrotors,Guillem Torrente; Elia Kaufmann; Philipp Foehn; Davide Scaramuzza,IEEE Robotics and Automation Letters,10.1109/LRA.2021.3061307,"Sí, preprint del autor",https://rpg.ifi.uzh.ch/docs/RAL21_Torrente.pdf,GP residual + MPC para vuelo rápido; validación real.
2021,Learning-Based Predictive Path Following Control for Nonlinear Systems Under Uncertain Disturbances,Rui Yang; Lei Zheng; Jiesen Pan; Hui Cheng,IEEE Robotics and Automation Letters,10.1109/LRA.2021.3062805,"Sí, preprint",https://arxiv.org/pdf/2212.13053,GP online para perturbaciones desconocidas y control predictivo bajo viento.
2022,Safe Learning-based Gradient-free Model Predictive Control Based on Cross-entropy Method,Lei Zheng; Rui Yang; Zhixuan Wu; Jiesen Pan; Hui Cheng,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2022.104731,"Sí, preprint",https://arxiv.org/pdf/2102.12124,"Learning-based MPC con GP incremental, CEM y seguridad probabilística."
2022,Interpretable Stochastic Model Predictive Control using Distributional Reinforced Estimation for Quadrotor Tracking Systems,Yanran Wang; James O'Keeffe; Qiuchen Qian; David Boyle,arXiv,10.48550/arXiv.2205.07150,Sí,https://arxiv.org/pdf/2205.07150,Distributional RL estima perturbaciones aerodinámicas y alimenta SMPC.
2022,Neural Network Based Model Predictive Control for a Quadrotor UAV,Autores del artículo,Aerospace (MDPI),10.3390/aerospace9080460,Sí,https://www.mdpi.com/2226-4310/9/8/460/pdf,Red neuronal aprende dinámica traslacional y se usa dentro del MPC.
2023,DATT: Deep Adaptive Trajectory Tracking for Quadrotor Control,Kevin Huang; Rwik Rana; Alexander Spitzer; Guanya Shi; Byron Boots,Conference on Robot Learning (PMLR 229),,Sí,https://proceedings.mlr.press/v229/huang23a/huang23a.pdf,RL + control adaptativo L1; comparador fuerte no-MPC bajo perturbaciones.
2024,Online Learning and Control for Data-Augmented Quadrotor Model,Matej Smid; Jindrich Dunik,IFAC-PapersOnLine,10.1016/j.ifacol.2024.08.532,"Sí, preprint",https://arxiv.org/pdf/2304.00503,Recursive GP identifica drag online y actualiza el modelo usado por MPC.
2024,Fixed-time Disturbance Observer-Based MPC Robust Trajectory Tracking Control of Quadrotor,Liwen Xu; Bailing Tian; Cong Wang; Junjie Lu; Dandan Wang; Zhiyu Li; Qun Zong,IEEE/ASME Transactions on Mechatronics,10.1109/TMECH.2024.3503062,"Sí, preprint",https://arxiv.org/pdf/2408.15019,Observador de perturbaciones de tiempo fijo + MPC; simulación y experimento real.
